Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Fabienne Loureiro,Köln,3318-Fabienne_Loureiro,6.95,50.9333,,2013-07-14,2015-01-01,7004446
Fabio Nogueira,Langeoog,3743-Fabio_Nogueira,7.4860135,53.7460094,,2014-03-03,2015-01-01,
Facundo Saxe,Argentinien,1427-Facundo_Saxe,-64,-34,,2011-06-28,2015-01-01,7006477
Fanny Romoth,Rostock,4048-Fanny_Romoth,12.15,54.1,,2014-08-05,2015-01-01,7003729
Felix Tacke,Spiekeroog,3792-Felix_Tacke,7.7167,53.7833,,2014-03-19,2015-01-01,1009246
Filippo Boldrini,Spiekeroog,3766-Filippo_Boldrini,7.7167,53.7833,,2014-03-08,2015-01-01,1009246
Florence Marienne-Yao,Spiekeroog,3736-Florence_Marienne_Yao,7.7167,53.7833,,2014-03-02,2015-01-01,1009246
Francesca  Funaro,Spiekeroog,4001-Francesca_Funaro,7.7167,53.7833,,2014-07-07,2015-01-01,1009246
Francesco Crifo,Spiekeroog,3827-Francesco_Crifo,7.7167,53.7833,,2014-04-08,2015-01-01,1009246
Frank  Weßel,Spiekeroog,177-Frank_Wessel,7.7167,53.7833,,2010-04-09,2015-01-01,1009246
Frank Günther-Spohr,Bochum,183-Frank_GUenther_Spohr,7.1833,51.4667,,2010-04-20,2015-01-01,7004904
Frank Reza Links,Köln,46-Frank_Reza_Links,6.95,50.9333,,2009-12-06,2015-01-01,7004446
Frank Savelsberg,Göttingen,1106-Frank_Savelsberg,9.95,51.5333,,2011-03-16,2015-01-01,7005246
Frank-Michael Weiß,Langeoog,4035-Frank_Michael_Weiss,7.4860135,53.7460094,,2014-07-31,2015-01-01,
Franziska Maria Hack,Oxford,22-Franziska_Maria_Hack,-1.25,51.7667,,2009-12-02,2015-01-01,7011931
Frédéric Nicolosi,Mainz,2185-Fr_d_ric_Nicolosi,8.2667,50,,2012-03-29,2015-01-01,7004449
Gabi Guadamillas,Spiekeroog,4079-Gabi_Guadamillas,7.7167,53.7833,,2014-09-02,2015-01-01,1009246
Gabriele Montaldi-Seelhorst,Hamburg,166-Gabriele_Montaldi_Seelhorst,10,53.5833,,2010-03-20,2015-01-01,7003673
Gabriele Sibinger,Spiekeroog,480-Gabriele_Sibinger,7.7167,53.7833,,2010-10-21,2015-01-01,1009246
Gabriella Lambrecht,Spiekeroog,3563-Gabriella_Lambrecht,7.7167,53.7833,,2013-11-16,2015-01-01,1009246
Galina Putjata,Dresden,2205-Galina_Putjata,13.75,51.05,,2012-04-04,2015-01-01,7004455
Géraldine Desmarchelier,Langeoog,3814-G_raldine_Desmarchelier,7.4860135,53.7460094,,2014-04-02,2015-01-01,
Gerrit Berenike Heiter,Spiekeroog,895-Gerrit_Berenike_Heiter,7.7167,53.7833,,2011-01-16,2015-01-01,1009246
Gilbert Shang Ndi,Spiekeroog,3810-Gilbert_Shang_Ndi,7.7167,53.7833,,2014-03-28,2015-01-01,1009246
Griseldis Hemekendreis,Hamburg,981-Griseldis_Hemekendreis,10,53.5833,,2011-02-02,2015-01-01,7003673
Guido Furci,Paris,3709-Guido_Furci,2.3333,48.8667,,2014-02-16,2015-01-01,7008038
Haimo  Stiemer,Langeoog,4002-Haimo_Stiemer,7.4860135,53.7460094,,2014-07-08,2015-01-01,
Hanna Budig,Bamberg,3695-Hanna_Budig,10.9,49.9,,2014-02-03,2015-01-01,7004325
Hartmut Duppel,Regensburg,3793-Hartmut_Duppel,12.1,49.0167,,2014-03-19,2015-01-01,7013496
Hebe Gargiulo,Spiekeroog,3591-Hebe_Gargiulo,7.7167,53.7833,,2013-11-28,2015-01-01,1009246
Heike Jauch,Spiekeroog,3735-Heike_Jauch,7.7167,53.7833,,2014-03-01,2015-01-01,1009246
Heike Susanne Jauch,Berlin,1764-Heike_Susanne_Jauch,13.4167,52.5333,,2011-10-26,2015-01-01,7003712
Heinz Knape,Spiekeroog,3028-Heinz_Knape,7.7167,53.7833,,2013-02-18,2015-01-01,1009246
Helen Fernandes,Spiekeroog,4045-Helen_Fernandes,7.7167,53.7833,,2014-08-03,2015-01-01,1009246
Helena Wolff,Spiekeroog,782-Helena_Wolff,7.7167,53.7833,,2010-12-16,2015-01-01,1009246
Helmut Ullrich,Heidelberg,236-Helmut_Ullrich,8.7,49.4167,,2010-06-12,2015-01-01,7005177
Henrieke Markert,Spiekeroog,2669-Henrieke_Markert,7.7167,53.7833,,2012-08-03,2015-01-01,1009246
Herrad Schmidt,Bonn,850-Herrad_Schmidt,7.1,50.7333,,2011-01-04,2015-01-01,7005090
Hiltrud Lautenbach,Spiekeroog,111-Hiltrud_Lautenbach,7.7167,53.7833,,2010-01-27,2015-01-01,1009246
Ibou Coulibaly Diop,Berlin,200-Ibou_Coulibaly_Diop,13.4167,52.5333,,2010-05-14,2015-01-01,7003712
Ida Danciu,Hamburg,202-Ida_Danciu,10,53.5833,,2010-05-16,2015-01-01,7003673
Imma Martí,Bochum,1381-Imma_Mart_,7.1833,51.4667,,2011-06-15,2015-01-01,7004904
Ina Riesel,Bochum,104-Ina_Riesel,7.1833,51.4667,,2010-01-23,2015-01-01,7004904
Ines Hansen,Göttingen,3037-Ines_Hansen,9.95,51.5333,,2013-02-26,2015-01-01,7005246
Inés Recio Fernández,Heidelberg,4015-In_s_Recio_Fern_ndez,8.7,49.4167,,2014-07-15,2015-01-01,7005177
Inga Grantyn,Berlin,1411-Inga_Grantyn,13.4167,52.5333,,2011-06-23,2015-01-01,7003712
Ingrid Mechtler,Spiekeroog,3782-Ingrid_Mechtler,7.7167,53.7833,,2014-03-17,2015-01-01,1009246
Ingrid Scholz,Spiekeroog,159-Ingrid_Scholz,7.7167,53.7833,,2010-03-11,2015-01-01,1009246
Inmaculada Fernandez Menino,Spiekeroog,3992-Inmaculada_Fernandez_Menino,7.7167,53.7833,,2014-07-01,2015-01-01,1009246
Inna Kyselova ,Wien,3686-Inna_Kyselova,16.3667,48.2167,,2014-01-26,2015-01-01,7003321
Irene Domingo,Spiekeroog,3869-Irene_Domingo,7.7167,53.7833,,2014-05-06,2015-01-01,1009246
Irene Stephanus,Spiekeroog,3737-Irene_Stephanus,7.7167,53.7833,,2014-03-02,2015-01-01,1009246
Irene Vera,Spiekeroog,3212-Irene_Vera,7.7167,53.7833,,2013-06-07,2015-01-01,1009246
Isabel Azevedo,Graz,3922-Isabel_Azevedo,15.3667,47.0833,,2014-05-26,2015-01-01,7003097
Isabel Exner,Langeoog,3855-Isabel_Exner,7.4860135,53.7460094,,2014-04-26,2015-01-01,
Isabel Giustra,Spiekeroog,3802-Isabel_Giustra,7.7167,53.7833,,2014-03-25,2015-01-01,1009246
Isabel Prats,Spiekeroog,3776-Isabel_Prats,7.7167,53.7833,,2014-03-13,2015-01-01,1009246
Isabel Sorg,Spiekeroog,3400-Isabel_Sorg,7.7167,53.7833,,2013-08-30,2015-01-01,1009246
Isabell Lammel,Mainz,3019-Isabell_Lammel,8.2667,50,,2013-02-12,2015-01-01,7004449
Isabell Lindbüchl,Spiekeroog,3836-Isabell_LindbUechl,7.7167,53.7833,,2014-04-13,2015-01-01,1009246
Isabella Piatka,Spiekeroog,354-Isabella_Piatka,7.7167,53.7833,,2010-09-09,2015-01-01,1009246
