Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Gregor Schuhen,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3919"">Dr. Gregor Schuhen</a>",7.7167,53.7833,,2014-05-24,2015-01-01,1009246
Dr. Gruppuso Caterina,Spiekeroog,"<a href=""http://www.romanistik.de/pers/4086"">Dr. Gruppuso Caterina</a>",7.7167,53.7833,,2014-09-10,2015-01-01,1009246
Dr. habil. anna paola concu,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3775"">Dr. habil. anna paola concu</a>",7.7167,53.7833,,2014-03-12,2015-01-01,1009246
Dr. habil. Barbara Ventarola,Würzburg,"<a href=""http://www.romanistik.de/pers/205"">Dr. habil. Barbara Ventarola</a>",9.9333,49.8,,2010-05-17,2015-01-01,7004335
Dr. habil. Ferran Robles Sabater,Valencia,"<a href=""http://www.romanistik.de/pers/3851"">Dr. habil. Ferran Robles Sabater</a>",-0.3667,39.4667,,2014-04-25,2015-01-01,7002793
Dr. habil. Günter Berghaus,Bristol,"<a href=""http://www.romanistik.de/pers/2297"">Dr. habil. Günter Berghaus</a>",-2.5833,51.45,,2012-05-08,2015-01-01,7011198
Dr. habil. Katja Ploog,Besançon,"<a href=""http://www.romanistik.de/pers/143"">Dr. habil. Katja Ploog</a>",6.0333,47.2333,,2010-02-26,2015-01-01,7008356
Dr. habil. Rita  Unfer Lukoschik,Langeoog,"<a href=""http://www.romanistik.de/pers/962"">Dr. habil. Rita  Unfer Lukoschik</a>",7.4860135,53.7460094,,2011-01-28,2015-01-01,
Dr. habil. Yvette Bürki,Bern,"<a href=""http://www.romanistik.de/pers/2262"">Dr. habil. Yvette Bürki</a>",7.4333,46.95,,2012-04-22,2015-01-01,7007557
Dr. Hanna Milling,Langeoog,"<a href=""http://www.romanistik.de/pers/113"">Dr. Hanna Milling</a>",7.4860135,53.7460094,,2010-01-30,2015-01-01,
Dr. Hans Christian Hagedorn ,Ciudad Real,"<a href=""http://www.romanistik.de/pers/2120"">Dr. Hans Christian Hagedorn</a>",-3.9333,38.9833,,2012-02-24,2015-01-01,7002816
Dr. Harald Völker,Zürich,"<a href=""http://www.romanistik.de/pers/3718"">Dr. Harald Völker</a>",8.55,47.3833,,2014-02-24,2015-01-01,7003765
