Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Prof. Dr. Fritz Nies,Düsseldorf,Prof. Dr. Fritz Nies,6.7833,51.2167,,2013-09-25,2015-01-01,7004443
Dr. Roberto Ubbidiente,Berlin,Dr. Roberto Ubbidiente,13.4167,52.5333,,2013-09-25,2015-01-01,7003712
Prof. Dr. Georg  Kremnitz,Wien,Prof. Dr. Georg  Kremnitz,16.3667,48.2167,,2013-09-30,2015-01-01,7003321
Sevrine Ketterer,Bonn,Sevrine Ketterer,7.1,50.7333,,2013-10-01,2015-01-01,7005090
Dr. Martin Strickmann,Langeoog,Dr. Martin Strickmann,7.4860135,53.7460094,,2013-10-10,2015-01-01,
Prof. Dr. Klaus  Ley,Mainz,Prof. Dr. Klaus  Ley,8.2667,50,,2013-10-13,2015-01-01,7004449
Prof. Dr. Vittoria  Borsò,Düsseldorf,Prof. Dr. Vittoria  Borsò,6.7833,51.2167,,2013-10-17,2015-01-01,7004443
María Pliar Himmelsbach,Freiburg,María Pliar Himmelsbach,7.85,48,,2013-10-23,2015-01-01,1003143
Dr. Beatrice Bernardini,Spiekeroog,Dr. Beatrice Bernardini,7.7167,53.7833,,2013-10-23,2015-01-01,1009246
PD Dr. Ludger Scherer,Bonn,PD Dr. Ludger Scherer,7.1,50.7333,,2013-10-24,2015-01-01,7005090
Diana  Di Maria,Spiekeroog,Diana  Di Maria,7.7167,53.7833,,2013-10-24,2015-01-01,1009246
Dr. Josephine Mulumba,Spiekeroog,Dr. Josephine Mulumba,7.7167,53.7833,,2013-10-26,2015-01-01,1009246
Dr. Willi Jung,Bonn,Dr. Willi Jung,7.1,50.7333,,2013-10-28,2015-01-01,7005090
Christiane  Quandt,Spiekeroog,Christiane  Quandt,7.7167,53.7833,,2013-10-30,2015-01-01,1009246
Julius Goldmann,Spiekeroog,Julius Goldmann,7.7167,53.7833,,2013-10-30,2015-01-01,1009246
Denis Zh,Heidelberg,Denis Zh,8.7,49.4167,,2013-11-02,2015-01-01,7005177
Dr. Katrin Hedwig,Aachen,Dr. Katrin Hedwig,6.1,50.7667,,2013-11-02,2015-01-01,7004799
Dr. Hélène Stoye,Langeoog,Dr. Hélène Stoye,7.4860135,53.7460094,,2013-11-02,2015-01-01,
Patricia Winkler,Spiekeroog,Patricia Winkler,7.7167,53.7833,,2013-11-07,2015-01-01,1009246
Manuel Parodi Muñoz,Berlin,Manuel Parodi Muñoz,13.4167,52.5333,,2013-11-08,2015-01-01,7003712
