Name,website,univ--address
Dr. Reindert Dhondt,##NA##,KU Leuven & Universiteit Utrecht --  Belgien 
Universität Münster: Sekretariat der Spanischen Abteilung,##NA##,Westfälische Wilhelms-Universität Münster --  Bispinghof 3a 48143 Münster Deutschland 
Mira Becker,http://www.geisteswissenschaften.fu-berlin.de/we05/institut/mitarbeiter/becker_mira/index.html,Freie Universität Berlin --  Deutschland 
Lisa Zeller,##NA##,Johannes-Gutenberg-Universität Mainz --  Jakob-Welder-Weg 18 55099 Mainz Deutschland 
Dr. Adriana López-Labourdette,##NA##,##NA## -- ##NA##
Lukas Schaefer,##NA##,##NA## -- ##NA##
Robert  Hesselbach,##NA##,Julius-Maximilians-Universität Würzburg --   Würzburg Deutschland 
Prof. Dr. Gerhard  Poppenberg,http://www.uni-heidelberg.de/rose/personen/poppenberg.html,Ruprecht-Karls-Universität Heidelberg --   Heidelberg Deutschland 
Dr. Fausto De Michele,http://www.uni-graz.at/fausto.demichele/site.php?show=1,Karl-Franzens-Universität Graz --   Graz Österreich 
Dr. Irene M. Weiss,##NA##,Johannes Gutenberg Universität  --  Welder Weg 18   55099 Mainz Deutschland 
Sevrine Ketterer,##NA##,Universität Bonn --  Deutschland 
Prof. Dr. Eva Leitzke-Ungerer,http://www.romanistik.uni-halle.de/studienbereiche/romanistische_fachdidaktik/,Martin-Luther-Universität Halle-Wittenberg --  06114 Halle Deutschland 
Dr. May  Bletz,http://www.brocku.ca/hri/associates/bletz.php,Brock University --  Kanada 
Prof. Dr. Bettina Kluge,##NA##,Universität Hildesheim --  Marienburger Straße  22 31141 Hildesheim Deutschland 
Marco Albanese,##NA##,##NA## -- ##NA##
PD Dr. Annette  Endruschat,http://www.philologos.de/philologoi/ade/index.html,Universität Regensburg --  Deutschland 
Prof. Dr. Raymund Wilhelm,##NA##,##NA## --  Deutschland 
Dr. Ricarda Matheus,##NA##,##NA## -- ##NA##
Dr. Markus Ebenhoch,www.uni-salzburg.at/romanistik/ebenhoch,Paris-Lodron-Universität Salzburg --  Erzabt-Klotz-Straße 1 5020 Salzburg Österreich 
PD Dr. Philipp Burdy,##NA##,Otto-Friedrich-Universität Bamberg --  An der Universität  5 96045 Bamberg Deutschland 
Simona Brunetti,##NA##,##NA## -- ##NA##
Dr. Maria Hegner,##NA##,Universität des Saarlandes --  Deutschland 
Prof. Dr. Andrei Corbea-Hoisie,##NA##,Universitatea din Iași --  Rumänien 
Dr. Rada Bieberstein,http://www.uni-tuebingen.de/fakultaeten/philosophische-fakultaet/fachbereiche/philosophie-rhetorik-medien/institut-fuer-medienwissenschaft/personen/dr-r-bieberstein.html,Eberhard-Karls-Universität Tübingen --  Deutschland 
Tobias Berneiser,##NA##,Goethe-Universität Frankfurt am Main --  Deutschland 
PD Dr. Margot Brink,##NA##,Humboldt-Universität zu Berlin --  Deutschland 
PD Dr. Novella Di Nunzio,##NA##,##NA## --  Deutschland 
Julia Pümpel,##NA##,Leopold-Franzens-Universität Innsbruck --  Österreich 
Prof. Dr. Angelica Rieger,www.angelica-rieger.de,Rheinisch-Westfälische Technische Hochschule Aachen --  Kármánstr. 17 52062 Aachen Deutschland 
Dr. Anne Wigger,www.ibero-americana.net,Iberoamericana --  Deutschland 
Milan Herold,http://www.romanistik.uni-bonn.de/die-bonner-romanistik/gruendungsmythen/kollegiaten-1/jahrgang-2010,Uni Bonn --  Deutschland 
Daniel Wendt,##NA##,##NA## -- ##NA##
Prof. Dr. Brigitte Burrichter,##NA##,Julius-Maximilians-Universität Würzburg --  Am Hubland  97074 Würzburg Deutschland 
Prof. Dr. Rita  De Maeseneer,http://www.uantwerp.be/rita.demaeseneer,##NA## --  Prinsstraat 13 Gent  Belgien 
Prof. Dr. Christiane  Solte-Gresser,http://www.uni-saarland.de/fak4/fr45/fachr.html,Universität des Saarlandes --   Saarbrücken Deutschland 
Maude  Fagot,##NA##,##NA## -- ##NA##
Dr. Andrea Berger,##NA##,Karl-Franzens-Universität Graz --  Österreich 
Dr. Daniel Winkler,http://www.uibk.ac.at/romanistik/personal/winkler/,Leopold-Franzens-Universität Innsbruck --  Innrain  52 6020 Innsbruck Österreich 
