id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom3659;2013-02-20;kaST;beWS;spIT spWR;dzSW;Wissenschaftliche/r Mitarbeiter/in romanische Sprachwissenschaft
rom0288;2013-02-21;kaST;beWS;spÜG;dzLW;8 wissenschaftliche Mitarbeiter/innen: Graduiertenkolleg 1787 „Literatur und Literaturvermittlung im Zeitalter der Digitalisierung“
rom3590;2013-02-21;kaST;beWS;spÜG;dzMK;Wissenschaftliche/r Mitarbeiter/in (100 %): Basisprojekt Epistemische Rückseite instrumenteller Bilder des Exzellenzclusters Bild - Wissen - Gestaltung
rom3598;2013-02-21;kaST;beWS;spÜG;dzMK;Wissenschaftliche/r Mitarbeiter/in (50 %): Basisprojekt Epistemische Rückseite instrumenteller Bilder des Exzellenzclusters Bild - Wissen - Gestaltung
rom2192;2013-02-21;kaST;beNW;spES;dzSP;Lehrkraft für besondere Aufgaben im Bereich Wirtschaftssprachen (u.a. Spanisch)
rom2728;2013-02-21;kaST;bePR;spÜG;dzSW;Professur für Translationswissenschaft ((Kommunal-) Dolmetschen Translation aus kulturwissenschaftlicher und soziologischer Sicht)
rom0345;2013-02-21;kaST;beWS;spFR spIT spES;dzSW dzDK;Akademische/r Mitarbeiter/in (Sprachwissenschaft und Sprachdidaktik vor allem Französisch)
rom0863;2013-02-22;kaTA;beTA;spPT;dzLW;CfP: Guerra e memória nas literaturas africanas / Krieg und Gedächtnis in den lusophonen afrikanischen Literaturen
rom2564;2013-02-22;kaST;beWS;spFR;dzLW dzWT;Ovide moralisé: Wissenschaftliche(r) Mitarbeiter(in) (2 Stellen 65%)
rom0264;2013-02-25;kaST;beSTI;spFR spES spWR spÜG;dzLW dzMK;7 Doktorandenstipendien im DFG-Graduiertenkolleg Funktionen des Literarischen in Prozessen der Globalisierung
rom2178;2013-02-26;kaST;beWS;spFR;dzSP;Lehrkraft für besondere Aufgaben für die Sprachpraxis Französisch (unbefristet)
rom0634;2013-02-26;kaTA;beTA;spFR spIT spPT spES spÜG;dzSW;CfA: Kausalität und Finalität in der Linguistik
rom0954;2013-02-27;kaTA;beTA;spÜG;dzLW dzMK;CfP: L’art de la réception
rom2372;2013-02-27;kaST;beWS;spFR spES;dzSP;LfbA Methoden handlungs- und produktionsorientierten Fremdsprachenunterrichts
rom3652;2013-02-28;kaST;beWS;spFR spES;dzLW dzMK;Wissenschaftliche/r Mitarbeiter/in (Post-Doc) im Graduiertenkolleg Kulturkontakt und Wissenschaftsdiskurs (Universität Rostock)
rom2413;2013-02-28;kaTA;beTP;spÜG;dzLW dzMK;Marsilius-Akademie 2013: Summer School zum Thema Gewalt und Altruismus - Interdisziplinäre Annäherungen an ein grundlegendes Thema des Humanen
rom2191;2013-02-28;kaST;beWS;spES;dzSP;Lehrkraft für besondere Aufgaben im Bereich Wirtschaftssprachen Englisch und Spanisch
rom2272;2013-02-28;kaST;beNW;spÜG;dzSP;Leiter/-in des Zentrums für Sprachen und Internationales
rom1834;2013-03-01;kaWI;beAM;spES;dzLW;Iowa Literaria: nueva revista web
rom1750;2013-03-01;kaST;beWS;spFR spES;dzSW;Hochschuldozentur Romanische Sprachwissenschaft
rom0102;2013-03-01;kaTA;beTA;spÜG;dzWT;19. LIPP-Symposium Gefährdete Sprachen
rom3703;2013-03-01;kaTA;beTA;spÜG;dzWT;XI. Mediendidaktisches Kolloquium Web 2.0 und komplexe Kompetenzaufgaben im Fremdsprachenunterricht
